Date,Artist,Song Name,Korean Name,Director,Video,Type,Release,video_seconds,real_id,viewCount,likeCount,commentCount
2017-11-14,Lovelyz,Twinkle,종소리,ZANYBROS,https://youtu.be/vDxD4HwEFdY,Girl,Major,246,vDxD4HwEFdY,4838264,69263,9448
2017-11-13,Wanna One,Beautiful,뷰티풀,,https://youtu.be/o4_tHTmniw4,Boy,Major,490,o4_tHTmniw4,13355536,505609,43596
2017-11-13,AshGray,Love No More,더는 사랑 안해,,https://youtu.be/SXwPKNozWfQ,Boy,Major,245,SXwPKNozWfQ,2024,43,10
2017-11-09,VICTON,Remember Me,나를 기억해,,https://youtu.be/uLvr9Q-iJcs,Boy,Major,211,uLvr9Q-iJcs,3021115,121926,5459
2017-11-08,Urban Zakapa,When we were two,"그때의 나, 그때의 우리",,https://youtu.be/O92yHB0MDZ8,Co-ed,Major,216,O92yHB0MDZ8,8341914,68001,1656
2017-11-08,gugudan,Chococo,초코코,Digipedi,https://youtu.be/vLVSf_yI_r8,Girl,Major,222,vLVSf_yI_r8,4180532,102890,9214
2017-11-07,SF9,Let's Hang out,나랑 놀자,,https://youtu.be/dBHu2M7fT6w,Boy,Minor,227,dBHu2M7fT6w,378996,20102,625
2017-11-07,Block B,Shall We Dance,쉘 위 댄스,,https://youtu.be/NHglTopVlKQ,Boy,Major,184,NHglTopVlKQ,31850769,582955,21326
2017-11-07,MONSTA X,Dramarama,드라마라마,Vikings League,https://youtu.be/r1afdZk0qcI,Boy,Major,241,r1afdZk0qcI,54981484,1307945,68780
2017-11-07,EXID,DDD,덜덜덜,Digipedi,https://youtu.be/axVvZrDz60k,Girl,Major,207,axVvZrDz60k,63154896,923147,40581
2017-11-07,Kim Sohee,Sobok Sobok feat. Yezi,소복소복,,https://youtu.be/6wxCAGzMKKs,Girl Solo,Major,225,6wxCAGzMKKs,265654,5896,434
2017-11-06,Super Junior,Black Suit,블랙수트,Rigid Film,https://youtu.be/MvqB6JsRbsc,Boy,Major,201,MvqB6JsRbsc,57141431,1026311,125866
2017-11-06,SEVENTEEN,Clap,박수,,https://youtu.be/CyzEtbG-sxY,Boy,Major,211,CyzEtbG-sxY,111798766,1957594,114179
2017-11-06,Sonamoo,I (knew it),아이,,https://youtu.be/X9VlCV1ZflQ,Girl,Major,242,X9VlCV1ZflQ,3159017,64537,4164
2017-11-06,Mamamoo,I Love Too,놓지않을게,,https://youtu.be/AGjvMOqxeR4,Girl,Minor,328,AGjvMOqxeR4,861129,40988,1963
2017-11-05,Jeon Soyeon,Jelly,젤리,,https://youtu.be/FJ8kJdTYj1o,Girl Solo,Major,183,FJ8kJdTYj1o,11843089,451958,19739
2017-11-05,GeeGu,Chemical,케미컬,DOT,https://youtu.be/uuWCvrIBr3w,Girl,Major,219,uy02vGUnvzQ,8976,339,15
2017-11-05,DAY6,All Alone,혼자야,Naive,https://youtu.be/Fd-elEnkInw,Boy,Major,230,Fd-elEnkInw,4999624,246251,9274
2017-11-04,Icia,Sad Heel,새드힐,,https://youtu.be/EtHTRym7MVg,Girl,Major,228,C7XBBZ7WkFk,4251,163,10
2017-11-03,Minah,11°,11도,,https://youtu.be/zbV08YMyktA,Girl Solo,Minor,219,zbV08YMyktA,755808,30647,1162
2017-11-02,Hyeongseop X Euiwoong,It Will Be Good,좋겠다,,https://youtu.be/KKFXJYKctR8,Boy,Major,228,KKFXJYKctR8,1525928,74344,2722
2017-11-01,ASTRO,Crazy Sexy Cool,니가 불어와,,https://youtu.be/xeUx0AN2kCA,Boy,Major,300,xeUx0AN2kCA,32991797,1223508,41647
2017-10-31,Juniel,I Drink Alone,혼술,,https://youtu.be/q0KcsfY_1tc,Girl Solo,Major,239,q0KcsfY_1tc,828747,22120,625
